condition,expected_fire,method,fire_rate,ci_lo,ci_hi,n_seeds
M1,False,CMI,0.8666666666666667,0.6211750079348376,0.9626395301086407,15
M1,False,Pearson,1.0,0.7961107336956521,1.0,15
M1,False,PartialCorr,1.0,0.7961107336956521,1.0,15
M1,False,ResidualDCor,1.0,0.7961107336956521,1.0,15
M1,False,LLMJudge,0.4,0.19824228082594664,0.642535572434923,15
M2,True,CMI,1.0,0.7961107336956521,1.0,15
M2,True,Pearson,1.0,0.7961107336956521,1.0,15
M2,True,PartialCorr,1.0,0.7961107336956521,1.0,15
M2,True,ResidualDCor,1.0,0.7961107336956521,1.0,15
M2,True,LLMJudge,0.26666666666666666,0.1089727610318281,0.5195088965768675,15
M3,False,CMI,0.0,0.0,0.20388926630434784,15
M3,False,Pearson,0.9333333333333333,0.7018292244757601,0.9881334113938051,15
M3,False,PartialCorr,0.6,0.357464427565077,0.8017577191740534,15
M3,False,ResidualDCor,0.7333333333333333,0.4804911034231324,0.8910272389681718,15
M3,False,LLMJudge,0.13333333333333333,0.0373604698913593,0.3788249920651624,15
